Name,Field,Freq.,Km,L,F,P,Pj,T,U,K1dec,K1inc,K2dec,K2inc,K3dec,K3inc,K11,K22,K33,K12,K23,K13
AME18_015_C2,423,F1,1120.467,1.035,1.11,1.148,1.155,0.507,0.481,258.9,48.7,149.1,16.6,46.3,36.5,0.99132,1.00252,1.00616,-0.02967,-0.05212,-0.03669
AME18_015_C3,423,F1,303.2457,1.033,1.12,1.157,1.165,0.559,0.534,262.3,50.6,145.2,20.5,41.7,31.9,0.98158,1.0037,1.01471,-0.03755,-0.04909,-0.03909
AME18_015A1,423,F1,994.1876,1.031,1.087,1.12,1.125,0.469,0.446,264.7,45.6,147.4,24.2,39.4,34.6,0.98398,1.00957,1.00644,-0.02562,-0.03956,-0.03074
AME18_015A2,423,F1,372.7425,1.049,1.14,1.196,1.204,0.462,0.426,276.7,46.9,155.4,26,47.9,31.7,0.9844,0.99821,1.01739,-0.04811,-0.06683,-0.03475
AME18_015B1,423,F1,812.3431,1.034,1.108,1.145,1.152,0.511,0.486,270.2,46.4,152.9,23.6,45.7,34.2,0.98844,1.00325,1.00831,-0.03402,-0.0502,-0.03223
AME18_015B2,423,F1,3088.399,1.541,1.718,2.647,2.652,0.112,-0.128,270.5,44,149.5,28.1,39.3,32.9,0.79125,1.11604,1.09272,-0.14095,-0.3756,-0.13941
AME18_015C1,423,F1,1777.594,1.656,1.643,2.722,2.722,-0.008,-0.253,256.2,55.8,130.5,21.6,29.8,25.1,0.70734,1.02578,1.26688,-0.08304,-0.34083,-0.1868
AME18_015D1,423,F1,714.9924,1.39,1.41,1.959,1.959,0.021,-0.146,279.4,60.6,132.6,25.3,35.8,14,0.79624,0.96616,1.2376,-0.14028,-0.19798,-0.02723
AME18_015D2,423,F1,903.9559,1.029,1.116,1.149,1.158,0.582,0.558,277.7,45.7,149.9,30.9,41.1,28.2,0.97878,1.0041,1.01711,-0.04299,-0.04425,-0.03147
AME18_017A1,423,F1,186.5755,1.053,1.021,1.075,1.077,-0.429,-0.443,258.3,51.3,140.4,20.6,37.3,31.2,0.98075,1.00348,1.01577,-0.00307,-0.03046,-0.01229
AME18_017A2,423,F1,107.1818,1.029,1.026,1.055,1.055,-0.049,-0.062,263.5,42.9,92.8,46.8,357.8,4.6,0.97397,1.01405,1.01198,0.00267,-0.01412,-0.00363
AME18_017A3,423,F1,148.585,1.051,1.041,1.094,1.095,-0.104,-0.126,89.3,2.5,182.6,52.5,357.3,37.4,0.97131,1.04694,0.98175,0.0018,0.00313,-0.019
AME18_017B1,423,F1,99.39789,1.042,1.018,1.06,1.062,-0.394,-0.407,265.3,45.7,129.1,35.1,21.5,23.3,0.97944,1.01008,1.01048,-0.00338,-0.02291,-0.00757
AME18_017B2,423,F1,7378.462,1.055,1.679,1.772,1.881,0.813,0.761,258.3,16.2,156.8,34.5,9.2,50.8,0.95608,1.18218,0.86174,-0.01756,-0.05222,-0.22478
AME18_017B3,423,F1,9725.132,1.5,1.306,1.959,1.968,-0.207,-0.363,242.8,44.1,335.7,3,68.8,45.7,0.95414,1.01507,1.03078,0.0609,-0.30449,-0.1437
AME18_017C1,423,F1,10640.14,1.194,1.426,1.703,1.719,0.333,0.212,236.3,37.3,119.7,30.4,2.6,37.8,0.88275,1.12377,0.99348,0.0502,-0.08734,-0.20364
AME18_017C2,423,F1,99.97735,1.037,1.022,1.06,1.06,-0.257,-0.271,258,38.9,142.4,28.1,27.5,38.2,0.98546,1.01331,1.00123,-0.00082,-0.02237,-0.01286
AME18_017C3,423,F1,11718.38,1.402,1.242,1.741,1.749,-0.219,-0.348,97.7,3.9,191.3,43.1,3.6,46.7,0.85657,1.30265,0.84078,-0.05494,0.01941,-0.09403
