station,easting,northing
AME16_002,120.1142712,-20.98349939
AME16_003,120.1079475,-20.98714242
AME16_004,120.0990632,-20.98671452
AME16_005,120.0746278,-21.42959635
AME16_006,120.0742319,-21.42661859
AME16_006_Sam,120.0743956,-21.42650653
AME16_006B,120.0747718,-21.4265315
AME16_007,120.0707287,-21.41955483
AME16_008,119.7751878,-21.17173045
AME16_009,119.808421,-21.16907624
AME16_010,119.80816,-21.16922
AME16_011,119.8214249,-21.16227466
AME16_012,119.8155735,-21.16513741
AME16_013,119.9387383,-21.18224354
AME16_014,119.9527224,-21.1839915
AME16_015,119.8509043,-21.08397368
AME16_016,119.85736,-21.06768714
AME16_017,119.841396,-21.1100114
AME16_018,119.8420769,-21.10932324
AME16_019,120.264206,-21.33052426
AME16_020,120.2634102,-21.32965188
AME16_021,120.262571,-21.32889122
AME16_022a,120.2622533,-21.32730536
AME16_022b,120.2622533,-21.32730536
AME16_024,120.2293657,-21.38967787
AME16_025,120.2297401,-21.38991239
AME16_026,120.2261097,-21.38551743
AME16_027,120.1584815,-21.43022633
AME16_028,119.8682415,-21.13956934
AME16_029,119.8753659,-21.12849508
AME16_030,119.8787698,-21.11969057
AME16_031,119.8861984,-21.10989003
AME16_032,119.8949238,-21.10435386
AME16_033,119.9032344,-21.09877411
AME16_034,119.9143817,-21.09370826
AME16_035,119.9249652,-21.09314156
AME16_036,120.3301648,-21.06612794
AME16_037,120.3298913,-21.0663172
AME16_038,120.3280983,-21.06643849
AME16_039,120.3269432,-21.06587037
AME16_040,120.3232005,-21.06582871
AME16_041,120.3451854,-21.08186102
AME16_042,120.3637167,-21.11297356
AME16_043,120.3781113,-21.15298273
AME16_044,120.3723339,-21.14521698
AME16_045,120.371174,-21.14503568
AME16_046,120.3703854,-21.14484256
AME16_047,120.3670802,-21.14446546
AME16_048,120.3668278,-21.14453654
AME16_049,120.3741211,-21.14486578
AME16_050,120.3770555,-21.14844636
AME16_051,120.3707854,-21.17232179
AME16_052,120.3522314,-21.19346171
AME16_054,120.3194203,-21.19894506
AME16_055,119.9547397,-21.07691671
AME16_058,120.2128715,-21.36197727
AME16_056,119.9751408,-21.05743415
AME16_057,119.9982477,-21.02645212
AME16_059,120.1133369,-20.88986666
AME16_060,120.1171037,-20.88698756
AME16_061,120.1052159,-20.89688181
AME16_062,120.1068408,-20.89889137
AME16_063,120.1045767,-20.90175647
AME16_064,120.0994753,-20.91275252
AME16_065,119.8572096,-21.10504135
AME16_066,119.8715738,-21.10151164
AME16_067,120.0675191,-21.42668364
AME16_068,120.0672447,-21.4277618
AME16_069,120.0755301,-21.43256949
AME16_070,119.8957157,-20.99242989
AME16_071A,119.8976192,-20.99386873
AME16_071B,119.8977998,-20.99396537
AME16_072,119.8984756,-20.99442294
AME16_073,119.8989237,-20.99515988
AME16_074,119.9003344,-20.9985356
AME16_075,119.8848184,-21.16071981
AME16_076,119.9380107,-21.18015879
AME16_077,119.9701867,-21.18462567
AME16_078,119.9979207,-21.19369623
AME16_079,120.0536904,-21.1845649
AME16_080,120.0843597,-21.19370612
AME16_081,120.1142635,-21.19235848
AME16_082,120.1431435,-21.19365323
AME16_083,120.1693609,-21.19967597
AME16_084,120.2233334,-21.20376164
AME16_085,120.2584468,-21.2110834
AME16_086,120.2817369,-21.21355615
AME16_087,120.3104082,-21.21994617
AME16_088,120.341015,-21.21645302
AME16_089,119.9488897,-21.21032844
AME16_090,119.9779366,-21.25228347
AME16_091,119.9942517,-21.27609177
AME16_092,120.0125503,-21.29517283
AME16_093,120.0269646,-21.31766852
AME16_094,120.0422781,-21.33940514
AME16_095,120.0703127,-21.3773817
AME16_096,120.0746136,-21.39920399
AME16_097,120.0605598,-21.35401715
AME16_098,120.0994658,-20.91279552
